1024,16,3,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
84,0xc01889,for (int k = 0; k < COLUMNS; k++),,6.000000,0.01800720288115246,6.000000
,,6,,,,
97,0xc0171c,for (int ii = i; ii < i + r; ii++) { // WYNIK CZʌCIOWY,,32.000000,0.54063186349045445,32.000000
1024,64,3,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
84,0x1381886,for (int k = 0; k < COLUMNS; k++),,5.000000,0.015594298724386365,5.000000
99,0x1381756,for (int jj = j; jj < j + r; jj++) {,,1126.000000,21.674687199230029,1126.000000
84,0x11a1886,for (int k = 0; k < COLUMNS; k++),,5.000000,0.014464244387873179,5.000000
98,0x11a173f,for (int kk = k; kk < k + r; kk++) {,,61.000000,1.266085512660855,61.000000
99,0x128175c,for (int jj = j; jj < j + r; jj++) {,,146.000000,23.548387096774192,146.000000
100,0x1281775,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,361.000000,58.225806451612904,361.000000
84,0xba1886,for (int k = 0; k < COLUMNS; k++),,2.000000,0.10582010582010583,2.000000
99,0xba175e,for (int jj = j; jj < j + r; jj++) {,,157.000000,25.950413223140494,157.000000
256,16,3,,,,
256,64,3,,,,
86,0xc818b3,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,130.000000,96.296296296296291,130.000000
,,6,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
100,0xc81775,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,43.000000,60.563380281690137,43.000000
101,0xc817bd,},,8.000000,11.267605633802818,8.000000
128,16,3,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
86,0x12a18b3,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,13.000000,100,13.000000
,,6,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,Timer
98,0x12a1742,for (int kk = k; kk < k + r; kk++) {,,1.000000,10,1.000000
99,0x12a1761,for (int jj = j; jj < j + r; jj++) {,,1.000000,10,1.000000
100,0x12a1775,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,7.000000,70,7.000000
101,0x12a17bd,},,1.000000,10,1.000000
