1024,16,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
84,0x151aa8,for (int k = 0; k < COLUMNS; k++),,,0,,10.000000,1.000000,2.000000
85,0x151ac3,for (int i = 0; i < ROWS; i++),,74.000000,1.7354596622889307,74.000000,1873.000000,218.000000,122.000000
86,0x151ad5,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,4190.000000,98.264540337711068,4190.000000,79900.000000,17643.000000,11633.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
96,0x15184b,for (int k = 0; k < COLUMNS; k += r) {,,,0,,,2.000000,
97,0x15186c,for (int ii = i; ii < i + r; ii++) { // WYNIK CZʌCIOWY,,,0,,1.000000,9.000000,1.000000
98,0x15188f,for (int kk = k; kk < k + r; kk++) {,,,0,,1.000000,95.000000,65.000000
99,0x1518a6,for (int jj = j; jj < j + r; jj++) {,,78.000000,25.407166123778502,78.000000,2.000000,274.000000,172.000000
100,0x1518c5,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,210.000000,68.403908794788265,210.000000,165.000000,849.000000,507.000000
101,0x15190d,},,19.000000,6.1889250814332248,19.000000,5.000000,169.000000,94.000000
102,0x15190f,},,,0,,,3.000000,3.000000
103,0x151914,},,,0,,,1.000000,
,,,,,,,,,
1024,64,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
84,0xaa1aa8,for (int k = 0; k < COLUMNS; k++),,,0,,11.000000,1.000000,2.000000
85,0xaa1aba,for (int i = 0; i < ROWS; i++),,87.000000,2.0317608594114902,87.000000,1788.000000,140.000000,127.000000
86,0xaa1ad5,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,4195.000000,97.968239140588508,4195.000000,79968.000000,13572.000000,8773.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
98,0xaa188f,for (int kk = k; kk < k + r; kk++) {,,,0,,,9.000000,5.000000
99,0xaa18ae,for (int jj = j; jj < j + r; jj++) {,,554.000000,89.354838709677423,554.000000,,91.000000,59.000000
100,0xaa18c5,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,66.000000,10.64516129032258,66.000000,24.000000,272.000000,135.000000
101,0xaa190d,},,,0,,,51.000000,34.000000
102,0xaa190f,},,,0,,,1.000000,
,,,,,,,,,
1024,128,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
84,0xab1aa8,for (int k = 0; k < COLUMNS; k++),,,0,,19.000000,2.000000,2.000000
85,0xab1ac3,for (int i = 0; i < ROWS; i++),,78.000000,1.8275538894095593,78.000000,1837.000000,147.000000,94.000000
86,0xab1ad5,matrix_r[i][j] += matrix_a[i][k] * matrix_b[k][j];,,4190.000000,98.172446110590442,4190.000000,79902.000000,14239.000000,9270.000000
,,6,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
98,0xab188f,for (int kk = k; kk < k + r; kk++) {,,,0,,,6.000000,
99,0xab18ae,for (int jj = j; jj < j + r; jj++) {,,289.000000,91.455696202531641,289.000000,,86.000000,47.000000
100,0xab18c5,matrix_r[ii][jj] += matrix_a[ii][kk] * matrix_b[kk][jj];,,27.000000,8.5443037974683538,27.000000,17.000000,250.000000,132.000000
101,0xab190d,},,,0,,,54.000000,36.000000
102,0xab190f,},,,0,,,1.000000,1.000000
,,,,,,,,,
512,16,3,,,,,,,
Line,Address,Source Code,Code Bytes,Hotspot Samples,% of Hotspot Samples,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses
