Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.REF_TSC,MEM_LOAD_UOPS_RETIRED.LLC_MISS,MEM_UOPS_RETIRED.ALL_LOADS,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,DTLB_LOAD_MISSES.STLB_HIT,Timer
ac_multiply_seq_matrices_JKI_256(),114700000,167400000,0,36000054,6000180,27000810,0.0597275
ad_multiply_matrices_JKI_256(),133300000,192200000,100007,36000054,6400192,24800744,0.0239747
ae_multiply_seq_matrices_JKI_512(),849400000,6736300000,2800196,270000405,263007890,1000030,2.2571
af_multiply_matrices_JKI_512(),1041600000,6875800000,700049,274000411,246307389,3500105,0.634241
ag_multiply_seq_matrices_JKI_768(),2907800000,22732300000,20701449,926001389,889926697,3700111,7.57847
ah_multiply_matrices_JKI_768(),3431700000,23274800000,4800336,914001371,827524825,12900387,2.08765
ai_multiply_seq_matrices_JKI_1024(),6916100000,53747800000,68604802,2154003231,2111363339,10700321,17.9457
aj_multiply_matrices_JKI_1024(),8019700000,55257500000,28101967,2180003270,1964358929,28100843,4.91699
ak_multiply_seq_matrices_JKI_1536(),23153900000,184474800000,223015610,7252010878,7063511899,52501575,61.0538
al_multiply_matrices_JKI_1536(),27301700000,188684600000,157110997,7316010974,6597197910,99802994,16.9943
at_multiply_seq_matrices_sixLoops_256_16,15500000,9300000,0,2000003,0,200006,0.0021044
au_multiply_matrices_sixLoops_256_16$omp$parallel_for@406,34100000,12400000,0,8000012,0,400012,0.0017057
aw_multiply_seq_matrices_sixLoops_256_64,21700000,6200000,0,8000012,100003,1100033,0.0030554
ax_multiply_matrices_sixLoops_256_64$omp$parallel_for@445,27900000,9300000,0,8000012,0,800024,0.0016377
ay_multiply_seq_matrices_sixLoops_256_128,18600000,12400000,100007,8000012,0,900027,0.0034468
az_multiply_matrices_sixLoops_256_128$omp$parallel_for@484,21700000,12400000,0,8000012,0,900027,0.0016997
bc_multiply_seq_matrices_sixLoops_512_16(),120900000,52700000,0,40000060,300009,2000060,0.0174716
bd_multiply_matrices_sixLoops_512_16$omp$parallel_for@562,275900000,86800000,0,74000111,200006,2800084,0.0093022
be_multiply_seq_matrices_sixLoops_512_64,173600000,71300000,200014,66000099,100003,8700261,0.0241666
bf_multiply_matrices_sixLoops_512_64$omp$parallel_for@601,195300000,77500000,0,68000102,100003,6700201,0.0066188
bg_multiply_seq_matrices_sixLoops_512_128,164300000,80600000,0,72000108,0,7200216,0.0269864
bh_multiply_matrices_sixLoops_512_128$omp$parallel_for@640,186000000,83700000,0,68000102,100003,6700201,0.0095326
bi_multiply_seq_matrices_sixLoops_512_256,220100000,89900000,0,68000102,0,2500075,0.0314715
bj_multiply_matrices_sixLoops_512_256$omp$parallel_for@679,179800000,89900000,0,66000099,0,3300099,0.0157707
bk_multiply_seq_matrices_sixLoops_768_16,403000000,195300000,100007,140000210,1800054,4000120,0.0634521
bl_multiply_matrices_sixLoops_768_16$omp$parallel_for@718,939300000,325500000,0,260000390,1600048,6900207,0.0333246
bm_multiply_seq_matrices_sixLoops_768_64,582800000,248000000,300021,234000351,300009,29300879,0.0823812
bn_multiply_matrices_sixLoops_768_64$omp$parallel_for@757,678900000,251100000,0,240000360,200006,23100693,0.0244318
bo_multiply_seq_matrices_sixLoops_768_128,545600000,275900000,100007,238000357,100003,24400732,0.0947793
bp_multiply_matrices_sixLoops_768_128$omp$parallel_for@796,632400000,282100000,0,226000339,300009,22200666,0.0338462
br_multiply_seq_matrices_sixLoops_1024_16,961000000,502200000,1100077,322000483,4400132,9500285,0.159713
bs_multiply_matrices_sixLoops_1024_16$omp$parallel_for@835,2213400000,787400000,200014,620000930,4100123,16100483,0.073862
bt_multiply_seq_matrices_sixLoops_1024_64,1364000000,601400000,800056,558000837,800024,68802064,0.200306
bu_multiply_matrices_sixLoops_1024_64$omp$parallel_for@874,1608900000,592100000,100007,556000834,400012,54501635,0.0608952
bw_multiply_seq_matrices_sixLoops_1024_128,1302000000,682000000,100007,542000813,200006,56901707,0.226655
bx_multiply_matrices_sixLoops_1024_128$omp$parallel_for@913,1506600000,700600000,200014,550000825,300009,52101563,0.0671382
by_multiply_seq_matrices_sixLoops_1024_256,1785600000,765700000,200014,532000798,200006,20600618,0.253432
bz_multiply_matrices_sixLoops_1024_256$omp$parallel_for@952,1453900000,744000000,300021,540000810,200006,27500825,0.0721825
ca_multiply_seq_matrices_sixLoops_1024_512,1438400000,709900000,100007,540000810,3300099,8400252,0.231231
cb_multiply_matrices_sixLoops_1024_512$omp$parallel_for@991,1429100000,709900000,0,542000813,3400102,8200246,0.116419
cc_multiply_seq_matrices_sixLoops_1536_16,3214700000,1844500000,8800616,1110001665,16500495,31900957,0.589218
cd_multiply_matrices_sixLoops_1536_16$omp$parallel_for@1030,7477200000,2923300000,3200224,2090003135,14900447,53601608,0.265411
ce_multiply_seq_matrices_sixLoops_1536_64,4665500000,2018100000,2300161,1858002787,2000060,232906987,0.679192
cf_multiply_matrices_sixLoops_1536_64$omp$parallel_for@1069,5400200000,2073900000,1200084,1878002817,1600048,182605478,0.198247
cg_multiply_seq_matrices_sixLoops_1536_128(),4541500000,2439700000,700049,1856002784,600018,188905667,0.795156
ch_multiply_matrices_sixLoops_1536_128$omp$parallel_for@1108,5096400000,2433500000,400028,1832002748,700021,170405112,0.231354
ci_multiply_seq_matrices_sixLoops_1536_256,6007800000,2585400000,300021,1826002739,800024,68902067,0.850495
cj_multiply_matrices_sixLoops_1536_256$omp$parallel_for@1147,4953800000,2507900000,600042,1828002742,600018,92402772,0.295754
ck_multiply_seq_matrices_sixLoops_1536_512,4795700000,2343600000,900063,1816002724,11100333,27000810,0.779179
cl_multiply_matrices_sixLoops_1536_512$omp$parallel_for@1186,4848400000,2511000000,1200084,1824002736,11100333,26400792,0.267292
